ax,ay,az,gx,gy,gz,label
5.0,57.0,90.0,-348.0,-1251.0,-1813.0,cuadrado
4.0,57.0,92.0,323.0,-1019.0,-1392.0,cuadrado
4.0,60.0,89.0,-140.0,-879.0,-500.0,cuadrado
5.0,47.0,85.0,262.0,-189.0,116.0,cuadrado
5.0,39.0,88.0,-146.0,30.0,-213.0,cuadrado
4.0,44.0,89.0,140.0,396.0,-219.0,cuadrado
5.0,39.0,86.0,0.0,702.0,-128.0,cuadrado
0.0,39.0,85.0,-6.0,1392.0,-610.0,cuadrado
0.0,46.0,89.0,12.0,1447.0,-671.0,cuadrado
-1.0,44.0,85.0,641.0,1960.0,-659.0,cuadrado
0.0,44.0,87.0,-616.0,2448.0,-916.0,cuadrado
0.0,47.0,117.0,177.0,2351.0,-1526.0,cuadrado

4.0,37.0,91.0,0.0,1300.0,-268.0,cuadrado
4.0,40.0,99.0,-244.0,1148.0,-635.0,cuadrado
1.0,42.0,97.0,54.0,1190.0,-745.0,cuadrado
0.0,46.0,96.0,-329.0,995.0,-604.0,cuadrado
0.0,49.0,91.0,-213.0,1233.0,-403.0,cuadrado
-1.0,44.0,97.0,79.0,1508.0,-274.0,cuadrado
-1.0,46.0,101.0,-109.0,1367.0,-274.0,cuadrado
-1.0,42.0,104.0,268.0,879.0,-329.0,cuadrado
-4.0,43.0,98.0,-79.0,720.0,-555.0,cuadrado
-2.0,43.0,109.0,-262.0,317.0,-909.0,cuadrado
-4.0,48.0,98.0,-726.0,18.0,-891.0,cuadrado
-7.0,57.0,101.0,-134.0,488.0,-433.0,cuadrado
-7.0,57.0,97.0,-427.0,79.0,225.0,cuadrado
-8.0,61.0,90.0,-677.0,329.0,989.0,cuadrado
-6.0,54.0,90.0,-506.0,494.0,1813.0,cuadrado
-5.0,46.0,97.0,-12.0,683.0,1691.0,cuadrado
-6.0,48.0,94.0,-647.0,482.0,1819.0,cuadrado
-6.0,42.0,98.0,451.0,610.0,1642.0,cuadrado
-7.0,46.0,90.0,-616.0,390.0,1508.0,cuadrado
-8.0,45.0,91.0,-116.0,1032.0,1575.0,cuadrado
-5.0,45.0,103.0,-616.0,610.0,1654.0,cuadrado
