ax,ay,az,gx,gy,gz,label
-18.0,84.0,179.0,5074.0,5245.0,7957.0,signo
-22.0,11.0,181.0,1691.0,-720.0,7590.0,signo
-21.0,-7.0,157.0,-5740.0,-6424.0,6778.0,signo
-20.0,-3.0,62.0,-3493.0,-7529.0,2748.0,signo
-2.0,0.0,102.0,-9844.0,-5025.0,1441.0,signo
-1.0,16.0,38.0,-3706.0,-4470.0,-6.0,signo
5.0,-3.0,92.0,-8598.0,-1276.0,-18.0,signo
4.0,24.0,53.0,-5129.0,-1966.0,-396.0,signo
-10.0,-15.0,75.0,-7493.0,2430.0,-500.0,signo
1.0,57.0,116.0,-1080.0,2119.0,-433.0,signo
4.0,-21.0,144.0,-1557.0,751.0,-91.0,signo
7.0,1.0,125.0,-158.0,2094.0,140.0,signo
6.0,3.0,135.0,1123.0,800.0,-1282.0,signo
4.0,0.0,129.0,-274.0,433.0,-586.0,signo
2.0,6.0,127.0,653.0,415.0,-1068.0,signo
0.0,16.0,110.0,1288.0,-268.0,-195.0,signo
-2.0,1.0,112.0,-2247.0,-341.0,-390.0,signo
-3.0,21.0,89.0,476.0,659.0,323.0,signo
0.0,1.0,69.0,-299.0,-390.0,-311.0,signo
-3.0,3.0,83.0,549.0,-543.0,-341.0,signo
0.0,6.0,107.0,122.0,-586.0,384.0,signo
0.0,8.0,110.0,-274.0,-561.0,170.0,signo
0.0,9.0,108.0,12.0,-439.0,-73.0,signo

23.0,-20.0,118.0,-500.0,-989.0,-2705.0,signo
19.0,-23.0,104.0,-1844.0,-1948.0,-3230.0,signo
18.0,-19.0,95.0,-714.0,-1251.0,-4177.0,signo
20.0,-2.0,95.0,-1044.0,-451.0,-4354.0,signo
21.0,12.0,93.0,1251.0,280.0,-3407.0,signo
22.0,12.0,106.0,451.0,1099.0,-2106.0,signo
23.0,9.0,112.0,671.0,604.0,-867.0,signo
21.0,0.0,106.0,-708.0,116.0,-458.0,signo
19.0,-1.0,99.0,610.0,482.0,-818.0,signo
18.0,10.0,113.0,201.0,207.0,-366.0,signo
21.0,14.0,97.0,366.0,366.0,928.0,signo
23.0,12.0,101.0,2369.0,1245.0,1477.0,signo
23.0,5.0,106.0,54.0,964.0,1844.0,signo
23.0,7.0,104.0,1123.0,1160.0,2167.0,signo
23.0,-1.0,96.0,677.0,970.0,1966.0,signo
23.0,5.0,85.0,-91.0,1868.0,1758.0,signo
19.0,2.0,109.0,2039.0,3169.0,1777.0,signo
18.0,11.0,131.0,1178.0,2131.0,1630.0,signo
14.0,10.0,128.0,708.0,537.0,2149.0,signo
12.0,5.0,125.0,201.0,42.0,2540.0,signo
10.0,-6.0,123.0,-464.0,-720.0,2039.0,signo
10.0,-1.0,120.0,-274.0,-1355.0,1526.0,signo
9.0,-10.0,116.0,-1490.0,-1673.0,1093.0,signo
10.0,-2.0,115.0,-1349.0,-2033.0,500.0,signo
11.0,-4.0,107.0,-1899.0,-2070.0,757.0,signo
14.0,-8.0,93.0,-891.0,-1990.0,366.0,signo
17.0,-9.0,79.0,-1325.0,-848.0,-91.0,signo
12.0,-8.0,69.0,-1074.0,641.0,-641.0,signo
11.0,0.0,86.0,-183.0,2137.0,-1752.0,signo
13.0,20.0,100.0,-3169.0,2864.0,-549.0,signo
13.0,-1.0,117.0,-158.0,2974.0,824.0,signo
12.0,-21.0,142.0,-3132.0,1416.0,-67.0,signo
13.0,-3.0,122.0,-1331.0,91.0,-903.0,signo
12.0,0.0,114.0,-683.0,-543.0,-879.0,signo
11.0,-1.0,107.0,-2192.0,73.0,-201.0,signo
11.0,4.0,86.0,854.0,1343.0,146.0,signo
9.0,-15.0,108.0,-122.0,2497.0,103.0,signo
4.0,-4.0,23.0,-3346.0,-476.0,274.0,signo
21.0,-12.0,156.0,848.0,-1459.0,-354.0,signo
11.0,-3.0,108.0,-506.0,-830.0,-164.0,signo

19.0,-20.0,111.0,79.0,-1508.0,-1129.0,signo
21.0,-21.0,94.0,-109.0,-1422.0,-1948.0,signo
20.0,-17.0,96.0,-433.0,-567.0,-2522.0,signo
21.0,-5.0,101.0,1068.0,-305.0,-2943.0,signo
21.0,-3.0,93.0,-616.0,-195.0,-2577.0,signo
21.0,0.0,100.0,842.0,287.0,-2540.0,signo
21.0,-2.0,98.0,-598.0,268.0,-2259.0,signo
19.0,-7.0,103.0,-1697.0,116.0,-2741.0,signo
20.0,12.0,96.0,1227.0,-213.0,-3706.0,signo
13.0,26.0,87.0,-2064.0,244.0,-2039.0,signo
18.0,19.0,104.0,12.0,586.0,-1386.0,signo
16.0,24.0,99.0,-244.0,629.0,256.0,signo
20.0,7.0,106.0,916.0,549.0,635.0,signo
22.0,11.0,101.0,-299.0,427.0,470.0,signo
24.0,27.0,88.0,3780.0,1911.0,500.0,signo
27.0,14.0,115.0,-1398.0,2674.0,1538.0,signo
20.0,23.0,124.0,1496.0,2106.0,1160.0,signo
13.0,29.0,123.0,-1123.0,1374.0,2528.0,signo
12.0,22.0,127.0,421.0,1178.0,3596.0,signo
9.0,10.0,129.0,6.0,488.0,3993.0,signo
8.0,1.0,137.0,-183.0,-232.0,4140.0,signo
9.0,-7.0,123.0,-696.0,-1319.0,3737.0,signo
13.0,-17.0,117.0,409.0,-1630.0,2760.0,signo
14.0,-15.0,96.0,-225.0,-2174.0,1606.0,signo
14.0,-21.0,97.0,-1325.0,-1435.0,580.0,signo
15.0,-5.0,88.0,-42.0,-1141.0,-512.0,signo
12.0,-4.0,93.0,-1954.0,-207.0,-164.0,signo
16.0,-3.0,87.0,-1288.0,366.0,-329.0,signo
13.0,-9.0,103.0,-1184.0,738.0,-940.0,signo
14.0,-2.0,97.0,-2326.0,763.0,-1288.0,signo
15.0,1.0,99.0,-183.0,1093.0,-1563.0,signo
11.0,4.0,97.0,-2735.0,1722.0,-1038.0,signo
11.0,4.0,114.0,824.0,2308.0,-885.0,signo
9.0,7.0,116.0,-763.0,1612.0,-690.0,signo
11.0,6.0,116.0,-256.0,1868.0,-30.0,signo
9.0,0.0,125.0,-592.0,1618.0,18.0,signo
9.0,4.0,125.0,12.0,1117.0,177.0,signo
7.0,-4.0,123.0,-152.0,464.0,378.0,signo
5.0,-2.0,114.0,-598.0,293.0,103.0,signo
5.0,0.0,112.0,-61.0,-79.0,0.0,signo

57.0,-22.0,79.0,-1862.0,-861.0,1196.0,signo
57.0,-21.0,79.0,-1141.0,262.0,519.0,signo
56.0,-18.0,92.0,800.0,946.0,421.0,signo
58.0,-17.0,126.0,-61.0,-763.0,897.0,signo
60.0,-32.0,135.0,592.0,-4647.0,128.0,signo
65.0,-64.0,100.0,464.0,-6595.0,-1819.0,signo
62.0,-71.0,69.0,238.0,-6277.0,-6717.0,signo
61.0,-38.0,62.0,-1654.0,-5331.0,-9667.0,signo
59.0,-36.0,76.0,-372.0,-5844.0,-11871.0,signo
48.0,-7.0,27.0,-4616.0,-4311.0,-13526.0,signo
43.0,33.0,6.0,-4030.0,940.0,-13545.0,signo
45.0,70.0,-4.0,-9435.0,8384.0,-8622.0,signo
28.0,72.0,36.0,-726.0,15548.0,-4476.0,signo
21.0,97.0,130.0,1514.0,17288.0,2320.0,signo
4.0,62.0,142.0,1624.0,14796.0,7566.0,signo
0.0,39.0,125.0,3780.0,11945.0,9404.0,signo
0.0,39.0,148.0,1679.0,10253.0,10864.0,signo
6.0,-23.0,190.0,6516.0,6809.0,8738.0,signo
18.0,7.0,219.0,-2082.0,-2717.0,5941.0,signo
16.0,-7.0,135.0,-4867.0,-8635.0,4494.0,signo
23.0,3.0,57.0,-2503.0,-7767.0,2381.0,signo
31.0,1.0,26.0,-1740.0,-2424.0,2858.0,signo
36.0,-14.0,37.0,-177.0,2302.0,848.0,signo
31.0,-7.0,70.0,-2338.0,5019.0,-787.0,signo
25.0,13.0,91.0,-1972.0,6051.0,-903.0,signo
14.0,15.0,131.0,-2400.0,5978.0,-732.0,signo
5.0,11.0,114.0,-690.0,4207.0,-12.0,signo
12.0,6.0,135.0,-1972.0,3401.0,433.0,signo
7.0,1.0,113.0,-1166.0,2583.0,464.0,signo
6.0,-8.0,120.0,-2204.0,2229.0,-781.0,signo
4.0,15.0,133.0,-2045.0,873.0,-903.0,signo
2.0,2.0,107.0,79.0,506.0,-61.0,signo
2.0,9.0,112.0,-1148.0,-30.0,-177.0,signo
2.0,2.0,93.0,-494.0,1001.0,305.0,signo
2.0,4.0,124.0,-549.0,1288.0,476.0,signo
0.0,-9.0,107.0,-317.0,714.0,201.0,signo
-2.0,-8.0,98.0,-787.0,-561.0,-48.0,signo
5.0,21.0,145.0,-73.0,-238.0,-97.0,signo
1.0,1.0,110.0,-714.0,-146.0,6.0,signo
2.0,2.0,109.0,-641.0,-134.0,-6.0,signo

43.0,-33.0,92.0,-873.0,1135.0,85.0,signo
43.0,-19.0,116.0,-1209.0,-48.0,-177.0,signo
40.0,-25.0,97.0,42.0,-451.0,-726.0,signo
42.0,-19.0,117.0,67.0,-793.0,-818.0,signo
43.0,-23.0,107.0,567.0,-2192.0,-1007.0,signo
44.0,-39.0,106.0,842.0,-2271.0,-2119.0,signo
44.0,-48.0,112.0,-170.0,-3187.0,-4109.0,signo
43.0,-37.0,89.0,-482.0,-4116.0,-6662.0,signo
38.0,-14.0,62.0,-2406.0,-3102.0,-7847.0,signo
39.0,-6.0,65.0,-3871.0,-1270.0,-7627.0,signo
39.0,12.0,53.0,-2064.0,873.0,-7303.0,signo
40.0,20.0,75.0,-4464.0,2912.0,-5221.0,signo
41.0,22.0,67.0,140.0,4964.0,-3206.0,signo
33.0,6.0,95.0,-824.0,6027.0,-2198.0,signo
32.0,52.0,110.0,232.0,5978.0,-745.0,signo
28.0,38.0,118.0,287.0,4800.0,3187.0,signo
29.0,22.0,125.0,2259.0,4635.0,4232.0,signo
33.0,25.0,130.0,2241.0,3242.0,6241.0,signo
31.0,-9.0,127.0,1880.0,2039.0,6302.0,signo
33.0,-10.0,144.0,433.0,-85.0,6155.0,signo
33.0,-33.0,154.0,354.0,-3480.0,4537.0,signo
26.0,-34.0,92.0,-891.0,-5270.0,2796.0,signo
28.0,-35.0,45.0,-567.0,-2668.0,128.0,signo
31.0,-11.0,45.0,30.0,1593.0,-1551.0,signo
31.0,15.0,84.0,-2003.0,3120.0,-250.0,signo
26.0,-15.0,85.0,-12.0,4745.0,525.0,signo
24.0,3.0,115.0,158.0,5111.0,-885.0,signo
24.0,-1.0,129.0,629.0,4152.0,122.0,signo
22.0,7.0,127.0,-781.0,2717.0,-61.0,signo
17.0,-5.0,121.0,-146.0,2015.0,225.0,signo
15.0,0.0,117.0,-299.0,1667.0,-317.0,signo
12.0,4.0,117.0,-189.0,1429.0,-427.0,signo
11.0,4.0,119.0,-720.0,775.0,109.0,signo
10.0,-2.0,106.0,-232.0,1044.0,85.0,signo
16.0,8.0,68.0,-1722.0,-1050.0,311.0,signo
8.0,-1.0,96.0,-1062.0,-500.0,36.0,signo
11.0,-1.0,106.0,-73.0,-293.0,-177.0,signo
11.0,1.0,108.0,-543.0,-488.0,-116.0,signo
11.0,0.0,108.0,-409.0,-482.0,-213.0,signo
12.0,0.0,107.0,-916.0,-494.0,67.0,signo

56.0,-9.0,84.0,-3395.0,1697.0,2296.0,signo
58.0,-22.0,123.0,-384.0,164.0,1227.0,signo
60.0,-43.0,107.0,-2577.0,-2204.0,170.0,signo
60.0,-57.0,93.0,-195.0,-2589.0,-3065.0,signo
56.0,-35.0,68.0,622.0,-2442.0,-5483.0,signo
51.0,-27.0,76.0,-1667.0,-1325.0,-6912.0,signo
49.0,-6.0,69.0,-1123.0,-543.0,-7627.0,signo
50.0,10.0,69.0,-1392.0,396.0,-7169.0,signo
51.0,12.0,62.0,-2058.0,1887.0,-6003.0,signo
48.0,24.0,56.0,-879.0,4128.0,-5245.0,signo
45.0,30.0,84.0,-1600.0,5697.0,-3792.0,signo
44.0,42.0,94.0,-42.0,5941.0,-1435.0,signo
42.0,28.0,112.0,-293.0,5734.0,836.0,signo
40.0,23.0,116.0,134.0,4439.0,1648.0,signo
36.0,14.0,113.0,464.0,4097.0,2229.0,signo
32.0,25.0,105.0,-91.0,3645.0,2210.0,signo
