ax,ay,az,gx,gy,gz,label
-6.0,58.0,89.0,-488.0,787.0,1477.0,linea
-6.0,54.0,89.0,-598.0,690.0,1270.0,linea
-5.0,56.0,86.0,-372.0,598.0,1105.0,linea
-5.0,56.0,89.0,-464.0,629.0,1007.0,linea
-5.0,58.0,85.0,-659.0,476.0,848.0,linea
-5.0,59.0,85.0,-665.0,708.0,1044.0,linea
-4.0,57.0,87.0,-616.0,861.0,916.0,linea
-5.0,55.0,90.0,-403.0,720.0,806.0,linea
-7.0,63.0,87.0,-641.0,543.0,806.0,linea
-7.0,59.0,87.0,-580.0,763.0,1093.0,linea
-6.0,59.0,91.0,-592.0,592.0,1007.0,linea
-7.0,55.0,88.0,-683.0,445.0,1001.0,linea
-6.0,56.0,90.0,-555.0,366.0,812.0,linea
-6.0,57.0,88.0,-537.0,189.0,671.0,linea
-5.0,58.0,88.0,-403.0,158.0,616.0,linea
-6.0,55.0,84.0,-616.0,48.0,567.0,linea
-5.0,58.0,85.0,-561.0,134.0,439.0,linea
-5.0,58.0,88.0,-341.0,360.0,476.0,linea
-5.0,55.0,89.0,-726.0,195.0,384.0,linea
-6.0,58.0,87.0,-726.0,201.0,293.0,linea

-2.0,55.0,89.0,-354.0,12.0,-1056.0,linea
-4.0,58.0,90.0,-494.0,-403.0,-1374.0,linea
-5.0,62.0,91.0,-287.0,-995.0,-1697.0,linea
-5.0,64.0,89.0,-696.0,-1496.0,-1459.0,linea
-4.0,62.0,83.0,-433.0,-1447.0,-1343.0,linea
-3.0,59.0,87.0,-1367.0,-1569.0,-1361.0,linea
-5.0,59.0,86.0,-433.0,-1722.0,-1789.0,linea
-5.0,64.0,86.0,-629.0,-1734.0,-1728.0,linea
-5.0,63.0,83.0,-244.0,-1624.0,-1410.0,linea
-4.0,58.0,85.0,-109.0,-1483.0,-1398.0,linea
-4.0,62.0,83.0,-79.0,-1618.0,-1502.0,linea
-3.0,62.0,83.0,-91.0,-1435.0,-1508.0,linea
-3.0,67.0,84.0,-531.0,-1447.0,-1410.0,linea
-3.0,64.0,85.0,-170.0,-1410.0,-1166.0,linea
-2.0,60.0,82.0,-1044.0,-1380.0,-1105.0,linea
-2.0,59.0,81.0,-1007.0,-1062.0,-1251.0,linea
-3.0,63.0,85.0,-696.0,-726.0,-1270.0,linea
-2.0,64.0,89.0,-726.0,-1001.0,-928.0,linea
-3.0,61.0,89.0,-372.0,-1190.0,-836.0,linea
-1.0,61.0,88.0,-274.0,-1398.0,-720.0,linea
-2.0,61.0,84.0,-164.0,-1361.0,-769.0,linea
-2.0,61.0,81.0,-476.0,-1190.0,-738.0,linea
-2.0,59.0,83.0,-555.0,-769.0,-574.0,linea
-1.0,56.0,87.0,-586.0,-690.0,-708.0,linea
-1.0,55.0,86.0,-732.0,-757.0,-1025.0,linea
-2.0,61.0,89.0,-439.0,-757.0,-1184.0,linea
-2.0,60.0,88.0,-415.0,-854.0,-958.0,linea
-2.0,60.0,87.0,-409.0,-787.0,-983.0,linea
-2.0,58.0,88.0,-390.0,-873.0,-922.0,linea
-1.0,62.0,87.0,-445.0,-861.0,-1007.0,linea
-2.0,60.0,84.0,-500.0,-861.0,-763.0,linea
-2.0,60.0,87.0,-458.0,-732.0,-775.0,linea
-2.0,58.0,85.0,-329.0,-738.0,-677.0,linea
-1.0,60.0,86.0,-323.0,-629.0,-824.0,linea
-1.0,62.0,88.0,-244.0,-696.0,-610.0,linea
-2.0,59.0,85.0,-207.0,-647.0,-537.0,linea
-1.0,59.0,87.0,-158.0,-592.0,-574.0,linea
-2.0,62.0,85.0,-274.0,-561.0,-549.0,linea
-2.0,63.0,85.0,-439.0,-464.0,-341.0,linea
-1.0,58.0,86.0,-329.0,-366.0,-256.0,linea

2.0,54.0,94.0,-299.0,103.0,48.0,linea
3.0,52.0,92.0,-561.0,79.0,109.0,linea
3.0,48.0,89.0,-305.0,140.0,164.0,linea
3.0,53.0,90.0,-439.0,256.0,91.0,linea
3.0,48.0,91.0,-18.0,268.0,384.0,linea
2.0,50.0,89.0,12.0,403.0,-207.0,linea
3.0,50.0,89.0,-195.0,506.0,-73.0,linea
1.0,51.0,91.0,-177.0,800.0,-476.0,linea
0.0,53.0,92.0,-195.0,610.0,-158.0,linea
0.0,46.0,86.0,-42.0,928.0,-616.0,linea
-2.0,55.0,93.0,-128.0,1019.0,-610.0,linea
-3.0,52.0,96.0,-189.0,861.0,-696.0,linea
-1.0,56.0,91.0,-531.0,372.0,-250.0,linea
-4.0,45.0,84.0,-36.0,873.0,-775.0,linea
-5.0,58.0,92.0,12.0,1013.0,-708.0,linea
-7.0,51.0,93.0,213.0,1105.0,-464.0,linea
-6.0,56.0,97.0,207.0,775.0,-696.0,linea
-9.0,55.0,94.0,-73.0,476.0,-580.0,linea
-8.0,57.0,93.0,280.0,225.0,-256.0,linea
-10.0,51.0,86.0,48.0,0.0,-403.0,linea
-9.0,58.0,82.0,116.0,451.0,-531.0,linea
-11.0,57.0,83.0,-42.0,745.0,-232.0,linea
-10.0,57.0,89.0,-384.0,903.0,-244.0,linea
-11.0,52.0,89.0,-97.0,842.0,-396.0,linea
-12.0,57.0,94.0,-396.0,549.0,-592.0,linea
-14.0,54.0,89.0,-696.0,-12.0,-360.0,linea
-14.0,58.0,91.0,-702.0,30.0,-555.0,linea
-14.0,61.0,94.0,-24.0,-225.0,317.0,linea
-15.0,50.0,85.0,-445.0,-335.0,-48.0,linea
-14.0,60.0,84.0,-256.0,-73.0,-274.0,linea
-14.0,52.0,78.0,-525.0,103.0,146.0,linea
-14.0,55.0,81.0,-225.0,775.0,-250.0,linea
-17.0,57.0,91.0,-348.0,909.0,-42.0,linea
-16.0,54.0,96.0,12.0,409.0,-232.0,linea
-16.0,58.0,90.0,-476.0,-293.0,-299.0,linea
-17.0,60.0,82.0,-366.0,-42.0,-219.0,linea
-16.0,59.0,85.0,-30.0,152.0,6.0,linea
-16.0,56.0,83.0,-244.0,372.0,36.0,linea
-18.0,58.0,87.0,-317.0,464.0,0.0,linea
-17.0,56.0,90.0,-6.0,287.0,-85.0,linea

-11.0,64.0,90.0,-409.0,-335.0,30.0,linea
-11.0,59.0,89.0,-409.0,-396.0,128.0,linea
-10.0,64.0,90.0,-800.0,-616.0,152.0,linea
-11.0,59.0,87.0,-977.0,-714.0,293.0,linea
-10.0,60.0,85.0,-1007.0,-622.0,244.0,linea
-10.0,61.0,83.0,-1312.0,-329.0,348.0,linea
-9.0,56.0,87.0,-854.0,-134.0,506.0,linea
-8.0,59.0,92.0,-1386.0,-360.0,323.0,linea
-9.0,61.0,93.0,-1227.0,-714.0,635.0,linea
-9.0,56.0,88.0,-1172.0,-867.0,775.0,linea
-7.0,57.0,89.0,-1105.0,-683.0,757.0,linea
-7.0,56.0,90.0,-1251.0,-604.0,836.0,linea
-6.0,54.0,92.0,-1007.0,-861.0,854.0,linea
-5.0,54.0,90.0,-1154.0,-787.0,836.0,linea
-4.0,53.0,89.0,-464.0,-726.0,867.0,linea
-5.0,52.0,88.0,-903.0,-629.0,946.0,linea
-2.0,51.0,90.0,-433.0,-488.0,702.0,linea
0.0,55.0,92.0,-903.0,-616.0,702.0,linea
0.0,52.0,83.0,-751.0,-769.0,1282.0,linea
0.0,47.0,84.0,-189.0,433.0,329.0,linea
-1.0,58.0,96.0,-409.0,42.0,531.0,linea
-1.0,49.0,92.0,-775.0,-177.0,586.0,linea
0.0,56.0,99.0,-842.0,-580.0,390.0,linea
1.0,48.0,92.0,-1099.0,-922.0,592.0,linea
0.0,50.0,95.0,-561.0,-726.0,-30.0,linea
1.0,54.0,93.0,-879.0,-1270.0,256.0,linea
1.0,50.0,89.0,-714.0,-885.0,91.0,linea
3.0,54.0,91.0,-787.0,-854.0,274.0,linea
3.0,48.0,92.0,-586.0,-751.0,244.0,linea
4.0,53.0,93.0,-696.0,-738.0,299.0,linea
3.0,46.0,94.0,-458.0,-690.0,103.0,linea
6.0,54.0,96.0,-867.0,-977.0,85.0,linea
6.0,47.0,88.0,-543.0,-830.0,109.0,linea
6.0,57.0,96.0,-977.0,-909.0,116.0,linea
8.0,49.0,85.0,-1032.0,-677.0,543.0,linea
7.0,48.0,90.0,-323.0,207.0,195.0,linea
6.0,53.0,99.0,-525.0,-158.0,341.0,linea
4.0,52.0,100.0,-512.0,-567.0,189.0,linea
7.0,57.0,97.0,-1044.0,-1166.0,519.0,linea
9.0,48.0,88.0,-793.0,-885.0,714.0,linea

-1.0,64.0,83.0,-665.0,390.0,543.0,linea
-2.0,58.0,85.0,-299.0,574.0,781.0,linea
-2.0,61.0,85.0,-543.0,482.0,732.0,linea
-2.0,61.0,84.0,-390.0,732.0,916.0,linea
