ax,ay,az,gx,gy,gz,label
24.0,37.0,76.0,-116.0,2454.0,-1526.0,hechizo1
20.0,35.0,72.0,-390.0,3163.0,-2021.0,hechizo1
14.0,52.0,82.0,-67.0,4494.0,-2454.0,hechizo1
11.0,50.0,97.0,-85.0,4439.0,-1728.0,hechizo1
7.0,55.0,103.0,250.0,4433.0,-1795.0,hechizo1
3.0,58.0,102.0,-769.0,3664.0,-1160.0,hechizo1
3.0,56.0,111.0,574.0,3590.0,-671.0,hechizo1
1.0,50.0,110.0,-464.0,2192.0,-610.0,hechizo1
0.0,51.0,95.0,-146.0,1868.0,-378.0,hechizo1
0.0,52.0,94.0,-622.0,2174.0,-445.0,hechizo1
1.0,51.0,107.0,-555.0,1911.0,-317.0,hechizo1
0.0,59.0,115.0,-1172.0,1080.0,-183.0,hechizo1
-1.0,65.0,117.0,-1355.0,-61.0,708.0,hechizo1
-3.0,65.0,118.0,-1416.0,-1215.0,1526.0,hechizo1
-2.0,61.0,117.0,-1526.0,-2247.0,2540.0,hechizo1
-1.0,55.0,118.0,-1203.0,-3200.0,2833.0,hechizo1
1.0,50.0,109.0,-1477.0,-4482.0,3432.0,hechizo1

13.0,60.0,82.0,122.0,3633.0,-3548.0,hechizo1
9.0,47.0,95.0,262.0,3029.0,-3706.0,hechizo1
5.0,61.0,90.0,-403.0,2338.0,-4079.0,hechizo1
1.0,64.0,85.0,-720.0,2265.0,-3993.0,hechizo1
-5.0,61.0,81.0,-421.0,2583.0,-3639.0,hechizo1
-6.0,86.0,98.0,-616.0,2509.0,-3523.0,hechizo1
-3.0,74.0,101.0,-213.0,1862.0,-1612.0,hechizo1
-3.0,68.0,98.0,-567.0,787.0,-1838.0,hechizo1
-4.0,69.0,87.0,-403.0,317.0,-1013.0,hechizo1
-2.0,62.0,89.0,-433.0,519.0,-1129.0,hechizo1
-5.0,71.0,92.0,-201.0,238.0,-934.0,hechizo1
-5.0,75.0,106.0,-299.0,-341.0,-372.0,hechizo1
-6.0,77.0,112.0,-433.0,-1514.0,360.0,hechizo1
-7.0,74.0,107.0,-769.0,-2821.0,1239.0,hechizo1
-6.0,66.0,94.0,-861.0,-3364.0,1636.0,hechizo1
-4.0,66.0,93.0,-824.0,-3596.0,1935.0,hechizo1
-1.0,60.0,89.0,-1087.0,-4073.0,2112.0,hechizo1
1.0,59.0,81.0,-702.0,-3883.0,2003.0,hechizo1
5.0,54.0,76.0,-647.0,-3523.0,2106.0,hechizo1
10.0,49.0,71.0,-561.0,-2735.0,1600.0,hechizo1
12.0,47.0,70.0,-549.0,-1954.0,1056.0,hechizo1
14.0,45.0,72.0,-574.0,-1288.0,537.0,hechizo1
